metric,mean_with_english,mean_without_english,delta
type_correct,0.2,0.2,0.0
marker_score,0.8882000000000001,0.8428000000000001,0.045399999999999996
function_score,0.564,0.5696,-0.005600000000000049
feature_score,0.2536,0.325,-0.07140000000000002
overall_score,0.5206000000000001,0.38739999999999997,0.1332000000000001
